ISO3Code,Age,Pop2020,Sex
AFG,0,5672509,Both
ALB,0,166278,Both
DZA,0,5041518,Both
AGO,0,5795004,Both
ATG,0,7355,Both
AZE,0,825398,Both
ARG,0,3736651,Both
AUS,0,1669707,Both
AUT,0,448166,Both
BHS,0,27064,Both
BHR,0,108054,Both
BGD,0,14328179,Both
ARM,0,204987,Both
BRB,0,15120,Both
BEL,0,633653,Both
BTN,0,63855,Both
BOL,0,1185499,Both
BIH,0,133254,Both
BWA,0,271775,Both
BRA,0,14475093,Both
BLZ,0,39446,Both
SLB,0,103156,Both
BRN,0,31672,Both
BGR,0,312730,Both
MMR,0,4508556,Both
BDI,0,2053840,Both
BLR,0,548121,Both
KHM,0,1778977,Both
CMR,0,4115703,Both
CAN,0,1993132,Both
CPV,0,51932,Both
CAF,0,738242,Both
LKA,0,1660410,Both
TCD,0,2930435,Both
CHL,0,1162223,Both
CHN,0,83932437,Both
COL,0,3710699,Both
COM,0,123508,Both
COG,0,821959,Both
COD,0,15827439,Both
CRI,0,348002,Both
HRV,0,184151,Both
CUB,0,571283,Both
CYP,0,64817,Both
CZE,0,558810,Both
BEN,0,1908329,Both
DNK,0,308596,Both
DOM,0,1002829,Both
ECU,0,1667087,Both
SLV,0,576216,Both
GNQ,0,199653,Both
ETH,0,16791484,Both
ERI,0,495070,Both
EST,0,69176,Both
FJI,0,89390,Both
FIN,0,264132,Both
FRA,0,3619987,Both
DJI,0,99162,Both
GAB,0,320376,Both
GEO,0,268345,Both
GMB,0,409506,Both
PSE,0,692913,Both
DEU,0,4058679,Both
GHA,0,4169436,Both
KIR,0,15160,Both
GRC,0,409459,Both
GRD,0,9012,Both
GTM,0,2065382,Both
GIN,0,2100111,Both
GUY,0,73864,Both
HTI,0,1262943,Both
HND,0,1017017,Both
HUN,0,461142,Both
ISL,0,20439,Both
IND,0,116879507,Both
IDN,0,23658296,Both
IRN,0,7637559,Both
IRQ,0,5380423,Both
IRL,0,313653,Both
ISR,0,847828,Both
ITA,0,2324694,Both
CIV,0,4131200,Both
JAM,0,230823,Both
JPN,0,4778481,Both
KAZ,0,1920184,Both
JOR,0,1058122,Both
KEN,0,7044364,Both
PRK,0,1746093,Both
KOR,0,1897011,Both
KWT,0,289689,Both
KGZ,0,760255,Both
LAO,0,796887,Both
LBN,0,566127,Both
LSO,0,253513,Both
LVA,0,114020,Both
LBR,0,740493,Both
LBY,0,623998,Both
LTU,0,145118,Both
LUX,0,33249,Both
MDG,0,4109427,Both
MWI,0,2923943,Both
MYS,0,2635111,Both
MDV,0,35579,Both
MLI,0,3605514,Both
MLT,0,21674,Both
MRT,0,689874,Both
MUS,0,64048,Both
MEX,0,10958742,Both
MNG,0,375460,Both
MDA,0,202520,Both
MNE,0,36906,Both
MAR,0,3325038,Both
MOZ,0,5156628,Both
OMN,0,453666,Both
NAM,0,336078,Both
NPL,0,2706773,Both
NLD,0,858900,Both
VUT,0,42080,Both
NZL,0,301256,Both
NIC,0,656942,Both
NER,0,4787474,Both
NGA,0,33938795,Both
NOR,0,301748,Both
FSM,0,12265,Both
PAK,0,27962852,Both
PAN,0,389313,Both
PNG,0,1107184,Both
PRY,0,701092,Both
PER,0,2833265,Both
PHL,0,10616342,Both
POL,0,1884914,Both
PRT,0,400652,Both
GNB,0,305111,Both
TLS,0,178084,Both
QAT,0,135162,Both
ROU,0,939606,Both
RUS,0,9271691,Both
RWA,0,1885105,Both
LCA,0,10826,Both
VCT,0,7706,Both
STP,0,31754,Both
SAU,0,2978337,Both
SEN,0,2615341,Both
SRB,0,419057,Both
SYC,0,7967,Both
SLE,0,1158651,Both
SGP,0,258176,Both
SVK,0,283691,Both
VNM,0,7892471,Both
SVN,0,101272,Both
SOM,0,2826505,Both
ZAF,0,5764945,Both
ZWE,0,2097448,Both
ESP,0,1990096,Both
SSD,0,1707392,Both
SDN,0,6339078,Both
SUR,0,52186,Both
SWZ,0,143677,Both
SWE,0,601450,Both
CHE,0,451829,Both
SYR,0,1919096,Both
TJK,0,1356750,Both
THA,0,3596052,Both
TGO,0,1220060,Both
TON,0,12201,Both
TTO,0,88366,Both
ARE,0,499138,Both
TUN,0,1004154,Both
TUR,0,6567148,Both
TKM,0,661065,Both
UGA,0,7796039,Both
UKR,0,2113850,Both
MKD,0,111883,Both
EGY,0,12697212,Both
GBR,0,3924490,Both
TZA,0,9738602,Both
USA,0,19676332,Both
BFA,0,3472482,Both
URY,0,236656,Both
UZB,0,3431637,Both
VEN,0,2363409,Both
WSM,0,26990,Both
YEM,0,4115306,Both
ZMB,0,2946454,Both
AFG,5,5416223,Both
ALB,5,167554,Both
DZA,5,4635972,Both
AGO,5,5104164,Both
ATG,5,7228,Both
AZE,5,860640,Both
ARG,5,3709817,Both
AUS,5,1639267,Both
AUT,5,426016,Both
BHS,5,26590,Both
BHR,5,110081,Both
BGD,5,14644431,Both
ARM,5,213872,Both
BRB,5,15498,Both
BEL,5,669050,Both
BTN,5,61973,Both
BOL,5,1179088,Both
BIH,5,161958,Both
BWA,5,267230,Both
BRA,5,14601817,Both
BLZ,5,38660,Both
SLB,5,93014,Both
BRN,5,34683,Both
BGR,5,336652,Both
MMR,5,4512705,Both
BDI,5,1818607,Both
BLR,5,595719,Both
KHM,5,1751610,Both
CMR,5,3730323,Both
CAN,5,1977789,Both
CPV,5,53144,Both
CAF,5,697367,Both
LKA,5,1689625,Both
TCD,5,2522114,Both
CHL,5,1265856,Both
CHN,5,86735183,Both
COL,5,3703456,Both
COM,5,114130,Both
COG,5,770376,Both
COD,5,13659867,Both
CRI,5,357596,Both
HRV,5,201625,Both
CUB,5,628093,Both
CYP,5,67576,Both
CZE,5,554836,Both
BEN,5,1688621,Both
DNK,5,297433,Both
DOM,5,996519,Both
ECU,5,1610643,Both
SLV,5,570607,Both
GNQ,5,172010,Both
ETH,5,15246064,Both
ERI,5,476700,Both
EST,5,74485,Both
FJI,5,87750,Both
FIN,5,304547,Both
FRA,5,3907487,Both
DJI,5,97948,Both
GAB,5,279630,Both
GEO,5,284818,Both
GMB,5,352804,Both
PSE,5,671615,Both
DEU,5,3822225,Both
GHA,5,3888435,Both
KIR,5,14303,Both
GRC,5,471668,Both
GRD,5,9119,Both
GTM,5,1982085,Both
GIN,5,1865513,Both
GUY,5,73764,Both
HTI,5,1237836,Both
HND,5,988975,Both
HUN,5,447424,Both
ISL,5,22631,Both
IND,5,117982127,Both
IDN,5,24298150,Both
IRN,5,6928297,Both
IRQ,5,5229807,Both
IRL,5,358290,Both
ISR,5,823268,Both
ITA,5,2670301,Both
CIV,5,3619086,Both
JAM,5,233966,Both
JPN,5,5401488,Both
KAZ,5,1947826,Both
JOR,5,1154441,Both
KEN,5,6969546,Both
PRK,5,1684278,Both
KOR,5,2256802,Both
KWT,5,318637,Both
KGZ,5,769195,Both
LAO,5,769855,Both
LBN,5,586030,Both
LSO,5,225235,Both
LVA,5,93749,Both
LBR,5,678323,Both
LBY,5,661423,Both
LTU,5,155557,Both
LUX,5,32657,Both
MDG,5,3653510,Both
MWI,5,2738576,Both
MYS,5,2508078,Both
MDV,5,37242,Both
MLI,5,3154805,Both
MLT,5,21428,Both
MRT,5,617954,Both
MUS,5,68838,Both
MEX,5,11210511,Both
MNG,5,362015,Both
MDA,5,221538,Both
MNE,5,37037,Both
MAR,5,3427577,Both
MOZ,5,4561154,Both
OMN,5,378907,Both
NAM,5,318448,Both
NPL,5,2756210,Both
NLD,5,893863,Both
VUT,5,38805,Both
NZL,5,314028,Both
NIC,5,660204,Both
NER,5,3970552,Both
NGA,5,29913646,Both
NOR,5,312575,Both
FSM,5,11783,Both
PAK,5,25499380,Both
PAN,5,384466,Both
PNG,5,1043164,Both
PRY,5,682819,Both
PER,5,2612135,Both
PHL,5,11397952,Both
POL,5,1899957,Both
PRT,5,440424,Both
GNB,5,277238,Both
TLS,5,153794,Both
QAT,5,135374,Both
ROU,5,965441,Both
RUS,5,9350916,Both
RWA,5,1675918,Both
LCA,5,10986,Both
VCT,5,8241,Both
STP,5,30657,Both
SAU,5,2977879,Both
SEN,5,2417240,Both
SRB,5,436763,Both
SYC,5,7966,Both
SLE,5,1067234,Both
SGP,5,220861,Both
SVK,5,282900,Both
VNM,5,7586101,Both
SVN,5,108899,Both
SOM,5,2388859,Both
ZAF,5,5820660,Both
ZWE,5,2210712,Both
ESP,5,2244391,Both
SSD,5,1538290,Both
SDN,5,5789728,Both
SUR,5,52645,Both
SWZ,5,142943,Both
SWE,5,592501,Both
CHE,5,433116,Both
SYR,5,1716807,Both
TJK,5,1220860,Both
THA,5,3843780,Both
TGO,5,1120121,Both
TON,5,12438,Both
TTO,5,96085,Both
ARE,5,512575,Both
TUN,5,1013605,Both
TUR,5,6852122,Both
TKM,5,671865,Both
UGA,5,7059913,Both
UKR,5,2475661,Both
MKD,5,115669,Both
EGY,5,12331328,Both
GBR,5,4119566,Both
TZA,5,8623714,Both
USA,5,20045152,Both
BFA,5,3079706,Both
URY,5,236414,Both
UZB,5,3282087,Both
VEN,5,2731190,Both
WSM,5,24133,Both
YEM,5,3918102,Both
ZMB,5,2717088,Both
AFG,10,5192114,Both
ALB,10,162181,Both
DZA,10,3821402,Both
AGO,10,4349261,Both
ATG,10,6814,Both
AZE,10,698221,Both
ARG,10,3597262,Both
AUS,10,1610574,Both
AUT,10,423838,Both
BHS,10,31293,Both
BHR,10,92954,Both
BGD,10,15089278,Both
ARM,10,198453,Both
BRB,10,17547,Both
BEL,10,671469,Both
BTN,10,66263,Both
BOL,10,1161012,Both
BIH,10,181240,Both
BWA,10,246528,Both
BRA,10,14942442,Both
BLZ,10,37997,Both
SLB,10,78791,Both
BRN,10,31309,Both
BGR,10,370613,Both
MMR,10,4845400,Both
BDI,10,1508360,Both
BLR,10,485256,Both
KHM,10,1639744,Both
CMR,10,3320209,Both
CAN,10,1983001,Both
CPV,10,51053,Both
CAF,10,667354,Both
LKA,10,1721661,Both
TCD,10,2183878,Both
CHL,10,1249637,Both
CHN,10,84262751,Both
COL,10,3873485,Both
COM,10,101676,Both
COG,10,684997,Both
COD,10,11527510,Both
CRI,10,355406,Both
HRV,10,211194,Both
CUB,10,603903,Both
CYP,10,67755,Both
CZE,10,573613,Both
BEN,10,1488071,Both
DNK,10,337045,Both
DOM,10,977245,Both
ECU,10,1555045,Both
SLV,10,577896,Both
GNQ,10,144346,Both
ETH,10,13853199,Both
ERI,10,486693,Both
EST,10,75193,Both
FJI,10,82927,Both
FIN,10,310362,Both
FRA,10,3995688,Both
DJI,10,88543,Both
GAB,10,229390,Both
GEO,10,253462,Both
GMB,10,299820,Both
PSE,10,592433,Both
DEU,10,3811645,Both
GHA,10,3479871,Both
KIR,10,13438,Both
GRC,10,542237,Both
GRD,10,8623,Both
GTM,10,1926021,Both
GIN,10,1687906,Both
GUY,10,70499,Both
HTI,10,1202069,Both
HND,10,1023648,Both
HUN,10,483361,Both
ISL,10,23213,Both
IND,10,126155952,Both
IDN,10,22984659,Both
IRN,10,6217945,Both
IRQ,10,4559181,Both
IRL,10,356711,Both
ISR,10,737609,Both
ITA,10,2857357,Both
CIV,10,3198933,Both
JAM,10,226882,Both
JPN,10,5564526,Both
KAZ,10,1604307,Both
JOR,10,1139559,Both
KEN,10,6736223,Both
PRK,10,1684990,Both
KOR,10,2276782,Both
KWT,10,308230,Both
KGZ,10,600626,Both
LAO,10,757599,Both
LBN,10,558896,Both
LSO,10,211871,Both
LVA,10,102172,Both
LBR,10,623080,Both
LBY,10,623749,Both
LTU,10,120680,Both
LUX,10,31481,Both
MDG,10,3330790,Both
MWI,10,2561842,Both
MYS,10,2446026,Both
MDV,10,33125,Both
MLI,10,2759052,Both
MLT,10,20365,Both
MRT,10,537394,Both
MUS,10,80576,Both
MEX,10,11140870,Both
MNG,10,281841,Both
MDA,10,216870,Both
MNE,10,39389,Both
MAR,10,3127603,Both
MOZ,10,4054236,Both
OMN,10,315751,Both
NAM,10,281578,Both
NPL,10,2931249,Both
NLD,10,937700,Both
VUT,10,37092,Both
NZL,10,321707,Both
NIC,10,637140,Both
NER,10,3265890,Both
NGA,10,25792743,Both
NOR,10,321226,Both
FSM,10,11829,Both
PAK,10,23451518,Both
PAN,10,369411,Both
PNG,10,994174,Both
PRY,10,676926,Both
PER,10,2696055,Both
PHL,10,10906801,Both
POL,10,1974514,Both
PRT,10,489999,Both
GNB,10,242778,Both
TLS,10,153730,Both
QAT,10,122418,Both
ROU,10,1080761,Both
RUS,10,8174262,Both
RWA,10,1551766,Both
LCA,10,11152,Both
VCT,10,8355,Both
STP,10,29106,Both
SAU,10,2641499,Both
SEN,10,2098919,Both
SRB,10,486863,Both
SYC,10,7438,Both
SLE,10,992319,Both
SGP,10,240625,Both
SVK,10,282577,Both
VNM,10,7098174,Both
SVN,10,104506,Both
SOM,10,2119343,Both
ZAF,10,5495963,Both
ZWE,10,1921060,Both
ESP,10,2497954,Both
SSD,10,1380431,Both
SDN,10,5322924,Both
SUR,10,51594,Both
SWZ,10,147779,Both
SWE,10,585901,Both
CHE,10,409669,Both
SYR,10,1749863,Both
TJK,10,977078,Both
THA,10,4113805,Both
TGO,10,1023991,Both
TON,10,12103,Both
TTO,10,96320,Both
ARE,10,453459,Both
TUN,10,853066,Both
TUR,10,6773238,Both
TKM,10,524183,Both
