ISO3Code,Age,Dth2020,Sex
AFG,0,403621,Both
ALB,0,1984,Both
DZA,0,123649,Both
AGO,0,490209,Both
ATG,0,54,Both
AZE,0,21394,Both
ARG,0,44827,Both
AUS,0,5928,Both
AUT,0,1620,Both
BHS,0,191,Both
BHR,0,791,Both
BGD,0,481092,Both
ARM,0,2717,Both
BRB,0,186,Both
BEL,0,2181,Both
BTN,0,1928,Both
BOL,0,59979,Both
BIH,0,906,Both
BWA,0,10601,Both
BRA,0,225638,Both
BLZ,0,593,Both
SLB,0,2088,Both
BRN,0,334,Both
BGR,0,2309,Both
MMR,0,228877,Both
BDI,0,131510,Both
BLR,0,2042,Both
KHM,0,49557,Both
CMR,0,382601,Both
CAN,0,9829,Both
CPV,0,1100,Both
CAF,0,99035,Both
LKA,0,14566,Both
TCD,0,384883,Both
CHL,0,8957,Both
CHN,0,977939,Both
COL,0,55448,Both
COM,0,9088,Both
COG,0,40031,Both
COD,0,1671535,Both
CRI,0,3213,Both
HRV,0,839,Both
CUB,0,3298,Both
CYP,0,263,Both
CZE,0,1522,Both
BEN,0,192072,Both
DNK,0,1093,Both
DOM,0,29923,Both
ECU,0,27327,Both
SLV,0,10046,Both
GNQ,0,19513,Both
ETH,0,945093,Both
ERI,0,22961,Both
EST,0,174,Both
FJI,0,2298,Both
FIN,0,585,Both
FRA,0,13388,Both
DJI,0,5305,Both
GAB,0,15553,Both
GEO,0,2750,Both
GMB,0,28594,Both
PSE,0,14302,Both
DEU,0,14806,Both
GHA,0,221384,Both
KIR,0,847,Both
GRC,0,1381,Both
GRD,0,148,Both
GTM,0,55073,Both
GIN,0,176422,Both
GUY,0,2536,Both
HTI,0,109750,Both
HND,0,21972,Both
HUN,0,2115,Both
ISL,0,37,Both
IND,0,4755491,Both
IDN,0,609640,Both
IRN,0,112993,Both
IRQ,0,155721,Both
IRL,0,997,Both
ISR,0,2839,Both
ITA,0,7183,Both
CIV,0,377069,Both
JAM,0,3562,Both
JPN,0,12145,Both
KAZ,0,18859,Both
JOR,0,18383,Both
KEN,0,345572,Both
PRK,0,32937,Both
KOR,0,5094,Both
KWT,0,2370,Both
KGZ,0,14107,Both
LAO,0,39795,Both
LBN,0,6464,Both
LSO,0,24073,Both
LVA,0,621,Both
LBR,0,57493,Both
LBY,0,8027,Both
LTU,0,690,Both
LUX,0,114,Both
MDG,0,178933,Both
MWI,0,166954,Both
MYS,0,18412,Both
MDV,0,275,Both
MLI,0,402193,Both
MLT,0,120,Both
MRT,0,56578,Both
MUS,0,881,Both
MEX,0,174221,Both
MNG,0,8433,Both
MDA,0,2937,Both
MNE,0,118,Both
MAR,0,80310,Both
MOZ,0,392128,Both
OMN,0,3781,Both
NAM,0,15303,Both
NPL,0,95630,Both
NLD,0,2597,Both
VUT,0,1113,Both
NZL,0,1356,Both
NIC,0,13609,Both
NER,0,412995,Both
NGA,0,3649864,Both
NOR,0,736,Both
FSM,0,401,Both
PAK,0,2201312,Both
PAN,0,7283,Both
PNG,0,60625,Both
PRY,0,15274,Both
PER,0,45339,Both
PHL,0,306206,Both
POL,0,7030,Both
PRT,0,1393,Both
GNB,0,26394,Both
TLS,0,8572,Both
QAT,0,958,Both
ROU,0,7410,Both
RUS,0,66154,Both
RWA,0,72902,Both
LCA,0,180,Both
VCT,0,129,Both
STP,0,1074,Both
SAU,0,21663,Both
SEN,0,119106,Both
SRB,0,2361,Both
SYC,0,111,Both
SLE,0,138107,Both
SGP,0,481,Both
SVK,0,1594,Both
VNM,0,165648,Both
SVN,0,222,Both
SOM,0,343657,Both
ZAF,0,208420,Both
ZWE,0,114170,Both
ESP,0,5629,Both
SSD,0,185201,Both
SDN,0,419309,Both
SUR,0,1047,Both
SWZ,0,8152,Both
SWE,0,1449,Both
CHE,0,1677,Both
SYR,0,36666,Both
TJK,0,44411,Both
THA,0,32870,Both
TGO,0,95978,Both
TON,0,198,Both
TTO,0,2358,Both
ARE,0,3097,Both
TUN,0,13728,Both
TUR,0,88320,Both
TKM,0,36127,Both
UGA,0,495883,Both
UKR,0,18185,Both
MKD,0,1361,Both
EGY,0,257355,Both
GBR,0,17004,Both
TZA,0,564221,Both
USA,0,133800,Both
BFA,0,303005,Both
URY,0,2499,Both
UZB,0,87884,Both
VEN,0,80930,Both
WSM,0,472,Both
YEM,0,237711,Both
ZMB,0,185454,Both
AFG,5,35397,Both
ALB,5,186,Both
DZA,5,9463,Both
AGO,5,45848,Both
ATG,5,7,Both
AZE,5,1493,Both
ARG,5,3335,Both
AUS,5,659,Both
AUT,5,149,Both
BHS,5,41,Both
BHR,5,97,Both
BGD,5,55791,Both
ARM,5,200,Both
BRB,5,21,Both
BEL,5,249,Both
BTN,5,249,Both
BOL,5,8039,Both
BIH,5,68,Both
BWA,5,671,Both
BRA,5,16700,Both
BLZ,5,58,Both
SLB,5,188,Both
BRN,5,42,Both
BGR,5,252,Both
MMR,5,25338,Both
BDI,5,34014,Both
BLR,5,386,Both
KHM,5,14272,Both
CMR,5,47058,Both
CAN,5,710,Both
CPV,5,94,Both
CAF,5,11155,Both
LKA,5,2551,Both
TCD,5,62707,Both
CHL,5,848,Both
CHN,5,133391,Both
COL,5,7491,Both
COM,5,749,Both
COG,5,4932,Both
COD,5,221287,Both
CRI,5,336,Both
HRV,5,111,Both
CUB,5,496,Both
CYP,5,21,Both
CZE,5,212,Both
BEN,5,25053,Both
DNK,5,92,Both
DOM,5,1848,Both
ECU,5,3106,Both
SLV,5,804,Both
GNQ,5,1747,Both
ETH,5,146405,Both
ERI,5,2119,Both
EST,5,33,Both
FJI,5,325,Both
FIN,5,112,Both
FRA,5,1376,Both
DJI,5,832,Both
GAB,5,1828,Both
GEO,5,281,Both
GMB,5,4687,Both
PSE,5,1097,Both
DEU,5,1230,Both
GHA,5,45236,Both
KIR,5,72,Both
GRC,5,225,Both
GRD,5,17,Both
GTM,5,3549,Both
GIN,5,24844,Both
GUY,5,348,Both
HTI,5,15677,Both
HND,5,4341,Both
HUN,5,161,Both
ISL,5,9,Both
IND,5,438496,Both
IDN,5,59915,Both
IRN,5,5788,Both
IRQ,5,16611,Both
IRL,5,120,Both
ISR,5,329,Both
ITA,5,866,Both
CIV,5,44743,Both
JAM,5,398,Both
JPN,5,2230,Both
