ISO3Code,Infant.Deaths,Neonatal.Deaths,Under.five.Deaths,Country code,dth0_4,dth0_19,pop_total,pop0_4,pop0_17,pop0_19,CountryName,pop02019,pop1to42019,pop5
AFG,55797,43424,72186,4,403.621,501.582,38928.341,5672.509,19136.974,20910.291,Afghanistan,1158820,4479962,5638.782
AGO,63216,35358,92690,24,490.209,602.137,32866.268,5795.004,17457.45,18780.947,Angola,1183837,4486634,5670.471
ALB,290,251,327,8,1.984,2.825,2877.8,166.278,611.364,695.61,Albania,32550,136503,169.053
ARE,641,398,750,784,3.097,4.944,9890.4,499.138,1684.773,1854.704,United Arab Emirates,93300,407930,501.23
ARG,6204,4583,6977,32,44.827,65.51,45195.777,3736.651,13175.714,14583.179,Argentina,744687,2997195,3741.882
ARM,427,258,482,51,2.717,3.704,2963.234,204.987,721.381,787.789,Armenia,39623,168757,208.38
ATG,9,5,10,28,0.054,0.089,97.928,7.355,25.563,28.45,Antigua & Barbuda,1455,5925,7.38
AUS,972,726,1146,36,5.928,9.401,25499.881,1669.707,5832.836,6439.454,Australia,335309,1319548,1654.857
AUT,252,184,306,40,1.62,2.609,9006.4,448.166,1564.408,1750.39,Austria,91186,351138,442.324
AZE,2989,1765,3370,31,21.394,26.258,10139.175,825.398,2764.329,3021.496,Azerbaijan,151983,696384,848.367
BDI,17413,9288,24412,108,131.51,199.735,11890.781,2053.84,6139.234,6597.739,Burundi,416768,1601929,2018.697
BEL,340,249,424,56,2.181,3.527,11589.616,633.653,2360.011,2614.954,Belgium,122223,513725,635.948
BEN,24542,12931,37100,204,192.072,245.145,12123.198,1908.329,5882.035,6376.436,Benin,393528,1480675,1874.203
BFA,40438,19767,64744,854,303.005,390.073,20903.278,3472.482,10708.109,11581.731,Burkina Faso,716583,2691678,3408.261
BGD,74488,55542,89796,50,481.092,665.155,164689.383,14328.179,53407.032,59647.032,Bangladesh,2874791,11543955,14418.746
BGR,351,206,422,100,2.309,3.539,6948.445,312.73,1215.266,1335.263,Bulgaria,63132,251411,314.543
BHR,129,65,151,48,0.791,1.128,1701.583,108.054,366.066,399.99,Bahrain,19638,88612,108.25
BHS,59,36,68,44,0.191,0.436,393.248,27.064,104.326,117.449,Bahamas,5787,20874,26.661
BIH,135,111,158,70,0.906,1.331,3280.815,133.254,571.805,641.487,Bosnia & Herzegovina,24659,112938,137.597
BLR,268,133,360,112,2.042,3.527,9449.321,548.121,1901.593,2072.723,Belarus,93366,463035,556.401
BLZ,84,65,98,84,0.593,0.907,397.621,39.446,139.905,155.956,Belize,7891,31432,39.323
BOL,5218,3598,6399,68,59.979,81.502,11673.029,1185.499,4213.621,4662.283,Bolivia,237195,949895,1187.09
BRA,36051,22736,40429,76,225.638,357.341,212559.409,14475.093,53597.328,60237.356,Brazil,2912645,11659305,14571.95
BRB,36,26,39,52,0.186,0.287,287.371,15.12,59.496,67.13,Barbados,3126,11997,15.123
BRN,60,38,73,96,0.334,0.537,437.483,31.672,117.629,131.439,Brunei,5737,26913,32.65
BTN,309,215,369,64,1.928,2.7,771.612,63.855,233.444,261.821,Bhutan,13360,50200,63.56
BWA,1793,999,2320,72,10.601,12.63,2351.625,271.775,923.655,1011.038,Botswana,53845,218256,272.101
CAF,13322,6646,18095,140,99.035,126.966,4829.764,738.242,2473.013,2700.217,Central African Republic,150588,580269,730.857
CAN,1639,1285,1873,124,9.829,14.856,37742.157,1993.132,7120.16,7942.241,Canada,396176,1583681,1979.857
CHE,314,244,353,756,1.677,2.397,8654.618,451.829,1544.676,1719.812,Switzerland,90044,358882,448.926
CHL,1372,1044,1612,152,8.957,13.764,19116.209,1162.223,4413.72,4921.958,Chile,218144,964824,1182.968
CHN,112595,63895,132256,156,977.939,1352.154,1439323.774,83932.437,304173.891,337272.23,China,16446861,68594173,85041.034
CIV,52538,30156,70330,384,377.069,489.106,26378.275,4131.2,12731.459,13855.144,Cote d Ivoire,856192,3194095,4050.287
CMR,44707,23557,66071,120,382.601,493.665,26545.864,4115.703,12936.272,14022.485,Cameroon,842074,3216466,4058.54
COD,228831,96760,290859,180,1671.535,2120.486,89561.404,15827.439,46928.841,50487.326,Congo DR,3276369,12226393,15502.762
COG,6015,3369,8204,178,40.031,52.419,5518.092,821.959,2633.955,2850.299,Congo,164576,648375,812.951
COL,8676,5482,10091,170,55.448,90.146,50882.884,3710.699,13800.568,15534.031,Colombia,760037,2970184,3730.221
COM,1276,797,1656,174,9.088,11.098,869.595,123.508,394.394,428.906,Comoros,25042,97450,122.492
CPV,134,94,157,132,1.1,1.456,555.988,51.932,185.901,205.013,Cape Verde,10245,42334,52.579
CRI,523,425,599,188,3.213,4.995,5094.114,348.002,1275.808,1424.435,Costa Rica,68427,282741,351.168
CUB,434,246,591,192,3.298,5.894,11326.616,571.283,2181.851,2446.108,Cuba,105957,481463,587.42
CYP,23,16,29,196,0.263,0.338,1207.361,64.817,242.548,274.05,Cyprus,12509,52839,65.348
CZE,278,179,350,203,1.522,2.65,10708.982,558.81,1988.712,2174.977,Czech Republic,115277,440306,555.583
DEU,2517,1788,2959,276,14.806,23.267,83783.945,4058.679,14113.198,15811.52,Germany,831175,3156267,3987.442
DJI,984,623,1173,262,5.305,7.415,988.002,99.162,339.919,376.43,Djibouti,19397,80666,100.063
DNK,201,187,232,208,1.093,1.617,5792.203,308.596,1144.058,1281.977,Denmark,65236,237117,302.353
DOM,4826,3989,5768,214,29.923,38.166,10847.904,1002.829,3553.949,3935.223,Dominican Republic,201550,804995,1006.545
DZA,20237,16484,23598,12,123.649,148.238,43851.043,5041.518,15291.737,16409.237,Algeria,1017850,4006766,5024.616
ECU,4046,2379,4696,218,27.327,42.231,17643.06,1667.087,5766.685,6393.715,Ecuador,336510,1325960,1662.47
EGY,44628,28710,52291,818,257.355,315.937,102334.403,12697.212,39988.481,43413.971,Egypt,2407887,10395930,12803.817
ERI,3178,1863,4247,232,22.961,28.646,3546.427,495.07,1696.943,1832.395,Eritrea,103854,386831,490.685
ESP,1016,698,1221,724,5.629,9.167,46754.783,1990.096,8092.325,8970.564,Spain,389071,1627110,2016.181
EST,25,14,33,233,0.174,0.379,1326.539,69.176,257.768,281.149,Estonia,13177,55861,69.038
ETH,129236,98795,177849,231,945.093,1314.744,114963.583,16791.484,53790.246,58866.542,Ethiopia,3442128,13118706,16560.834
FIN,98,70,122,246,0.585,1.254,5540.718,264.132,1056.898,1175.339,Finland,48600,222468,271.068
FJI,405,202,482,242,2.298,3.465,896.444,89.39,305.854,335.275,Fiji,17929,72145,90.074
FRA,2738,1920,3251,250,13.388,21.15,65273.512,3619.987,13878.602,15410.951,France,698863,2970358,3669.221
FSM,63,41,75,583,0.401,0.536,115.021,12.265,42.751,47.347,Federated States of Micronesia,2512,9659,12.171
GAB,2075,1359,2807,266,15.553,20.039,2225.728,320.376,948.405,1022.776,Gabon,66037,250260,316.297
GBR,2842,2142,3313,826,17.004,24.562,67886.004,3924.49,14199.284,15686.529,United Kingdom,744390,3206656,3951.046
GEO,454,258,513,268,2.75,3.844,3989.175,268.345,938.144,1024.22,Georgia,50173,223889,274.062
GHA,29628,20399,40168,288,221.384,325.771,31072.945,4169.436,13455.152,14674.592,Ghana,839421,3295353,4134.774
GIN,28820,13960,44114,324,176.422,232.134,13132.792,2100.111,6583.192,7165.078,Guinea,434646,1624948,2059.594
GMB,3167,2427,4504,270,28.594,38.828,2416.664,409.506,1220.449,1319.167,Gambia The,84864,316374,401.238
GNB,3430,2329,5111,624,26.394,34.739,1967.998,305.111,953.194,1032.378,Guinea-Bissau,62172,239484,301.656
GNQ,2632,1289,3519,226,19.513,23.57,1402.985,199.653,588.388,636.96,Equatorial Guinea,41126,153999,195.125
GRC,264,178,302,300,1.381,2.322,10423.056,409.459,1740.538,1949.982,Greece,80897,338766,419.663
GRD,27,20,30,308,0.148,0.216,112.519,9.012,31.235,34.268,Grenada,1767,7297,9.064
GTM,8785,5180,10364,320,55.073,74.168,17915.567,2065.382,7148.635,7919.072,Guatemala,419768,1636019,2055.787
GUY,377,287,453,328,2.536,3.871,786.559,73.864,262.409,292.979,Guyana,14608,59970,74.578
HND,2995,1907,3480,340,21.972,35.09,9904.608,1017.017,3653.953,4070.63,Honduras,209343,801531,1010.874
HRV,148,105,176,191,0.839,1.36,4105.268,184.151,712.689,793.882,Croatia,35504,151407,186.911
HTI,12930,6827,16890,332,109.75,152.179,11402.533,1262.943,4398.04,4847.308,Haiti,255218,1010673,1265.891
HUN,277,182,335,348,2.115,3.168,9660.35,461.142,1682.524,1877.773,Hungary,96871,360267,457.138
IDN,97168,59591,114994,360,609.64,829.874,273523.621,23658.296,84933.797,94259.451,Indonesia,4576433,19363328,23939.761
IND,678728,522249,824448,356,4755.491,6166.891,1380004.385,116879.507,436943.383,487063.152,India,23904724,92877098,116781.822
IRL,173,128,203,372,0.997,1.613,4937.796,313.653,1220.158,1340.69,Ireland,58005,263516,321.521
IRN,18311,13075,21248,364,112.993,136.469,83992.953,7637.559,24151.228,26313.784,Iran,1590244,5992558,7582.802
IRQ,24347,17203,28801,368,155.721,204.595,40222.503,5380.423,17702.042,19320.987,Iraq,1042881,4331057,5373.938
ISL,6,4,8,352,0.037,0.079,341.25,20.439,79.269,87.778,Iceland,3856,16856,20.712
ISR,505,329,624,376,2.839,4.201,8655.541,847.828,2815.486,3076.159,Israel,167018,679779,846.797
ITA,1212,858,1432,380,7.183,11.908,60461.828,2324.694,9575.938,10728.443,Italy,438877,1943668,2382.545
