Measure,Age,Value,Sex,Country
Cases,0,304978,Both,Afghanistan
Cases,5,392894,Both,Afghanistan
Cases,10,568184,Both,Afghanistan
Cases,15,902741,Both,Afghanistan
Cases,20,1611978,Both,Afghanistan
Cases,25,2103937,Both,Afghanistan
Cases,30,2104966,Both,Afghanistan
Cases,35,1970078,Both,Afghanistan
Cases,40,1834677,Both,Afghanistan
Cases,45,1744550,Both,Afghanistan
Cases,50,1601880,Both,Afghanistan
Cases,55,1397704,Both,Afghanistan
Cases,60,1056240,Both,Afghanistan
Cases,65,786408,Both,Afghanistan
Cases,70,583227,Both,Afghanistan
Cases,75,428594,Both,Afghanistan
Cases,80,350497,Both,Afghanistan
Cases,85,263302,Both,Afghanistan
Cases,90,217188,Both,Afghanistan
Deaths,0,894,Both,Afghanistan
Deaths,5,311,Both,Afghanistan
Deaths,10,428,Both,Afghanistan
Deaths,15,767,Both,Afghanistan
Deaths,20,1993,Both,Afghanistan
Deaths,25,3347,Both,Afghanistan
Deaths,30,5881,Both,Afghanistan
Deaths,35,9267,Both,Afghanistan
Deaths,40,14842,Both,Afghanistan
Deaths,45,24111,Both,Afghanistan
Deaths,50,34251,Both,Afghanistan
Deaths,55,46765,Both,Afghanistan
Deaths,60,57322,Both,Afghanistan
Deaths,65,64455,Both,Afghanistan
Deaths,70,66925,Both,Afghanistan
Deaths,75,64368,Both,Afghanistan
Deaths,80,63890,Both,Afghanistan
Deaths,85,56288,Both,Afghanistan
Deaths,90,63669,Both,Afghanistan
Cases,0,304978,Both,Albania
Cases,5,392894,Both,Albania
Cases,10,568184,Both,Albania
Cases,15,902741,Both,Albania
Cases,20,1611978,Both,Albania
Cases,25,2103937,Both,Albania
Cases,30,2104966,Both,Albania
Cases,35,1970078,Both,Albania
Cases,40,1834677,Both,Albania
Cases,45,1744550,Both,Albania
Cases,50,1601880,Both,Albania
Cases,55,1397704,Both,Albania
Cases,60,1056240,Both,Albania
Cases,65,786408,Both,Albania
Cases,70,583227,Both,Albania
Cases,75,428594,Both,Albania
Cases,80,350497,Both,Albania
Cases,85,263302,Both,Albania
Cases,90,217188,Both,Albania
Deaths,0,894,Both,Albania
Deaths,5,311,Both,Albania
Deaths,10,428,Both,Albania
Deaths,15,767,Both,Albania
Deaths,20,1993,Both,Albania
Deaths,25,3347,Both,Albania
Deaths,30,5881,Both,Albania
Deaths,35,9267,Both,Albania
Deaths,40,14842,Both,Albania
Deaths,45,24111,Both,Albania
Deaths,50,34251,Both,Albania
Deaths,55,46765,Both,Albania
Deaths,60,57322,Both,Albania
Deaths,65,64455,Both,Albania
Deaths,70,66925,Both,Albania
Deaths,75,64368,Both,Albania
Deaths,80,63890,Both,Albania
Deaths,85,56288,Both,Albania
Deaths,90,63669,Both,Albania
Cases,0,304978,Both,Argentina
Cases,5,392894,Both,Argentina
Cases,10,568184,Both,Argentina
Cases,15,902741,Both,Argentina
Cases,20,1611978,Both,Argentina
Cases,25,2103937,Both,Argentina
Cases,30,2104966,Both,Argentina
Cases,35,1970078,Both,Argentina
Cases,40,1834677,Both,Argentina
Cases,45,1744550,Both,Argentina
Cases,50,1601880,Both,Argentina
Cases,55,1397704,Both,Argentina
Cases,60,1056240,Both,Argentina
Cases,65,786408,Both,Argentina
Cases,70,583227,Both,Argentina
Cases,75,428594,Both,Argentina
Cases,80,350497,Both,Argentina
Cases,85,263302,Both,Argentina
Cases,90,217188,Both,Argentina
Deaths,0,894,Both,Argentina
Deaths,5,311,Both,Argentina
Deaths,10,428,Both,Argentina
Deaths,15,767,Both,Argentina
Deaths,20,1993,Both,Argentina
Deaths,25,3347,Both,Argentina
Deaths,30,5881,Both,Argentina
Deaths,35,9267,Both,Argentina
Deaths,40,14842,Both,Argentina
Deaths,45,24111,Both,Argentina
Deaths,50,34251,Both,Argentina
Deaths,55,46765,Both,Argentina
Deaths,60,57322,Both,Argentina
Deaths,65,64455,Both,Argentina
Deaths,70,66925,Both,Argentina
Deaths,75,64368,Both,Argentina
Deaths,80,63890,Both,Argentina
Deaths,85,56288,Both,Argentina
Deaths,90,63669,Both,Argentina
Cases,0,304978,Both,Australia
Cases,5,392894,Both,Australia
Cases,10,568184,Both,Australia
Cases,15,902741,Both,Australia
Cases,20,1611978,Both,Australia
Cases,25,2103937,Both,Australia
Cases,30,2104966,Both,Australia
Cases,35,1970078,Both,Australia
Cases,40,1834677,Both,Australia
Cases,45,1744550,Both,Australia
Cases,50,1601880,Both,Australia
Cases,55,1397704,Both,Australia
Cases,60,1056240,Both,Australia
Cases,65,786408,Both,Australia
Cases,70,583227,Both,Australia
Cases,75,428594,Both,Australia
Cases,80,350497,Both,Australia
Cases,85,263302,Both,Australia
Cases,90,217188,Both,Australia
